                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.61785,                0.46229,                  1.029,                0.81341,                0.88201,                0.91917,                0.72733,                0.96867,                0.70006,                  1.349,             0.00076409,             0.00076409,             0.00076409
                     49,                0.61452,                0.44678,                 1.0351,                0.80061,                0.90808,                0.89228,                  0.677,                 1.0268,                0.71106,                 1.3983,             0.00074994,             0.00074994,             0.00074994
                     50,                0.61903,                0.44466,                 1.0268,                0.88094,                0.86664,                 0.9229,                0.74306,                0.96634,                0.57134,                 1.3663,             0.00073579,             0.00073579,             0.00073579
                     51,                0.61128,                0.44821,                 1.0367,                0.85417,                0.88728,                0.91995,                0.73945,                0.97445,                0.60086,                 1.3467,             0.00072164,             0.00072164,             0.00072164
                     52,                0.62029,                0.45776,                 1.0362,                0.78877,                0.85594,                0.85117,                0.66763,                0.96323,                0.75546,                 1.3481,              0.0007075,              0.0007075,              0.0007075
                     53,                0.59967,                0.44345,                 1.0193,                0.85293,                0.87261,                0.91606,                0.72854,                0.96545,                0.61385,                 1.3724,             0.00069335,             0.00069335,             0.00069335
                     54,                0.60784,                 0.4415,                 1.0247,                0.83576,                0.83741,                0.90312,                0.70948,                0.98172,                0.68573,                 1.3671,              0.0006792,              0.0006792,              0.0006792
                     55,                0.59741,                0.42998,                 1.0161,                 0.8491,                 0.8787,                0.90841,                0.71787,                0.95841,                0.67062,                 1.3679,             0.00066506,             0.00066506,             0.00066506
                     56,                0.57756,                0.41757,                 1.0163,                0.86203,                0.89061,                0.92086,                 0.7411,                0.94656,                0.58617,                 1.3515,             0.00065091,             0.00065091,             0.00065091
                     57,                 0.5834,                0.41435,                 1.0163,                0.84188,                0.89149,                0.91116,                0.72754,                0.98542,                0.61272,                 1.3943,             0.00063676,             0.00063676,             0.00063676
                     58,                0.56503,                 0.4145,                 1.0134,                0.85982,                0.86673,                0.90954,                0.72414,                0.97729,                0.59613,                  1.407,             0.00062262,             0.00062262,             0.00062262
                     59,                0.58325,                0.43075,                 1.0128,                0.82914,                0.87866,                0.91729,                0.72365,                0.96407,                 0.5863,                 1.3734,             0.00060847,             0.00060847,             0.00060847
                     60,                0.57326,                0.42456,                 1.0066,                0.87108,                0.85027,                0.89989,                0.73514,                0.94147,                 0.6051,                 1.3483,             0.00059432,             0.00059432,             0.00059432
                     61,                0.55242,                0.40597,                0.99561,                0.86415,                0.84439,                0.90688,                0.73147,                0.96592,                0.57274,                 1.3919,             0.00058017,             0.00058017,             0.00058017
                     62,                0.57134,                0.41455,                 1.0125,                0.80018,                0.90101,                0.89601,                0.71198,                0.96303,                0.66697,                 1.3938,             0.00056603,             0.00056603,             0.00056603
                     63,                0.54352,                0.40331,                0.99734,                0.83427,                0.86121,                 0.9009,                0.72135,                0.95916,                0.63917,                 1.3948,             0.00055188,             0.00055188,             0.00055188
                     64,                0.54048,                0.39237,                0.99158,                0.85681,                0.86695,                0.91232,                0.73413,                0.94978,                0.59784,                 1.3964,             0.00053773,             0.00053773,             0.00053773
                     65,                0.54438,                0.39242,                 0.9967,                0.85659,                0.89518,                0.91965,                0.74836,                0.94566,                0.56997,                 1.3708,             0.00052359,             0.00052359,             0.00052359
                     66,                0.53847,                0.39551,                0.98931,                0.85228,                0.86566,                0.91342,                0.74129,                0.95461,                0.63524,                 1.3847,             0.00050944,             0.00050944,             0.00050944
                     67,                0.53459,                0.38526,                 0.9911,                0.87887,                0.86872,                0.92094,                0.74816,                0.95401,                0.58927,                  1.379,             0.00049529,             0.00049529,             0.00049529
                     68,                0.52287,                0.37309,                0.98297,                0.87878,                0.88109,                0.92598,                0.75765,                0.94338,                0.55948,                 1.3718,             0.00048114,             0.00048114,             0.00048114
                     69,                0.51595,                0.37857,                 0.9852,                0.89753,                0.85864,                 0.9244,                0.74354,                0.92536,                0.58202,                 1.3697,               0.000467,               0.000467,               0.000467
                     70,                0.52943,                0.39082,                0.99091,                0.85089,                0.88582,                0.91062,                0.72644,                0.94782,                0.60673,                 1.3862,             0.00045285,             0.00045285,             0.00045285
                     71,                0.52409,                0.38267,                0.99135,                0.87782,                0.87797,                 0.9312,                0.73775,                0.95044,                0.63282,                 1.3995,              0.0004387,              0.0004387,              0.0004387
                     72,                0.51016,                0.37167,                0.98177,                0.86439,                0.87398,                0.91899,                0.74368,                0.95216,                0.58185,                 1.4224,             0.00042456,             0.00042456,             0.00042456
                     73,                0.50515,                0.35471,                0.97429,                 0.8347,                0.83776,                0.90507,                0.71251,                0.95068,                0.69138,                 1.4103,             0.00041041,             0.00041041,             0.00041041
                     74,                0.49418,                0.36335,                0.97637,                0.86192,                0.83967,                0.91474,                0.72943,                0.97235,                0.64053,                 1.4235,             0.00039626,             0.00039626,             0.00039626
                     75,                 0.5021,                0.36545,                0.97784,                0.85442,                 0.8965,                0.91884,                0.74356,                0.94864,                0.59955,                 1.3928,             0.00038211,             0.00038211,             0.00038211
                     76,                0.50053,                0.36041,                0.98353,                0.86424,                0.86391,                0.92561,                0.75787,                0.93426,                0.58766,                 1.3803,             0.00036797,             0.00036797,             0.00036797
                     77,                0.48708,                0.35034,                0.97409,                0.83657,                0.89651,                0.91674,                0.73708,                 0.9227,                0.59913,                 1.3772,             0.00035382,             0.00035382,             0.00035382
                     78,                0.48967,                0.35333,                0.97098,                0.86533,                0.89011,                0.92451,                0.74233,                0.93622,                0.61751,                 1.3944,             0.00033967,             0.00033967,             0.00033967
                     79,                0.48277,                0.34919,                0.96837,                0.88882,                0.87334,                0.92504,                0.74783,                0.94463,                0.62246,                 1.4109,             0.00032553,             0.00032553,             0.00032553
                     80,                0.48112,                0.34794,                0.97313,                0.88019,                0.89656,                0.92672,                0.75043,                0.94016,                0.57787,                 1.3985,             0.00031138,             0.00031138,             0.00031138
                     81,                0.48332,                0.35541,                0.97246,                0.87857,                0.86014,                0.91469,                0.74008,                 0.9429,                0.63315,                 1.4216,             0.00029723,             0.00029723,             0.00029723
                     82,                0.46954,                0.33821,                0.96217,                0.87967,                0.85233,                0.91748,                0.73183,                0.94307,                0.63414,                 1.4069,             0.00028308,             0.00028308,             0.00028308
                     83,                0.46974,                0.33755,                0.97127,                0.86131,                0.87698,                0.91438,                0.73424,                0.93893,                0.61853,                 1.4287,             0.00026894,             0.00026894,             0.00026894
                     84,                0.45675,                0.33227,                0.95644,                 0.8416,                0.89625,                0.92309,                0.74472,                0.96797,                 0.6107,                 1.4498,             0.00025479,             0.00025479,             0.00025479
                     85,                0.45963,                0.33217,                0.96709,                0.87125,                0.86351,                0.91978,                  0.749,                 0.9533,                0.60783,                 1.4535,             0.00024064,             0.00024064,             0.00024064
                     86,                0.45442,                0.33469,                0.96506,                0.85288,                0.88566,                0.91587,                0.74637,                0.95125,                0.59685,                 1.4506,              0.0002265,              0.0002265,              0.0002265
                     87,                0.45239,                0.33056,                 0.9556,                0.85609,                0.87742,                0.91924,                0.74527,                0.94772,                0.57763,                 1.4552,             0.00021235,             0.00021235,             0.00021235
                     88,                0.45362,                0.32631,                0.95969,                0.85714,                 0.8858,                 0.9185,                 0.7384,                0.95929,                0.60514,                 1.4625,              0.0001982,              0.0001982,              0.0001982
                     89,                0.45392,                0.33197,                0.95522,                0.84518,                0.87201,                0.90423,                0.73536,                0.94424,                0.62527,                 1.4412,             0.00018406,             0.00018406,             0.00018406
                     90,                0.44233,                0.32944,                0.95858,                0.85241,                0.87579,                0.91583,                0.75077,                0.94217,                0.60406,                 1.4341,             0.00016991,             0.00016991,             0.00016991
                     91,                0.32058,                0.23226,                0.88165,                0.86183,                0.89865,                0.91418,                0.73904,                0.95111,                0.61203,                 1.4555,             0.00015576,             0.00015576,             0.00015576
                     92,                0.31832,                0.22539,                0.87526,                0.86331,                0.89149,                0.90696,                 0.7314,                0.96036,                0.60468,                 1.4759,             0.00014161,             0.00014161,             0.00014161
                     93,                0.30966,                0.22321,                0.87551,                0.87179,                0.89177,                0.90627,                0.72783,                0.94735,                0.60577,                 1.4679,             0.00012747,             0.00012747,             0.00012747
                     94,                0.30523,                0.21765,                0.87619,                0.85033,                0.87781,                0.90408,                0.73164,                0.95029,                0.59975,                  1.476,             0.00011332,             0.00011332,             0.00011332
                     95,                0.30023,                0.21628,                0.86828,                0.86151,                0.88603,                0.90535,                0.73095,                0.93546,                0.59459,                 1.4565,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.29522,                0.21304,                0.86882,                0.83099,                0.89697,                 0.8785,                0.70063,                0.92988,                0.63281,                 1.4587,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.2829,                0.20241,                0.85344,                0.84037,                0.88694,                  0.896,                0.71877,                0.93322,                0.62301,                 1.4551,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.28618,                0.21002,                0.85737,                0.84493,                0.89419,                0.90422,                0.72245,                0.93579,                0.62333,                 1.4592,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.27457,                0.19893,                0.85126,                0.85757,                0.88911,                0.90142,                0.72118,                0.93995,                0.61141,                 1.4681,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 0.2729,                0.19707,                0.85064,                0.84786,                0.90251,                0.90598,                0.72948,                0.93857,                0.61217,                 1.4669,             2.8437e-05,             2.8437e-05,             2.8437e-05
